Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
Honda Vezel,Automatic,1500.0,Kenyan Used,2015,1949999.0
Mercedes Benz S400,Automatic,3000.0,Foreign Used,2017,7399900.0
Nissan Note,Manual,1600.0,Foreign Used,2017,1569000.0
Audi SQ5,Automatic,3000.0,Foreign Used,2019,6450000.0
Honda Vezel,Automatic,1500.0,Foreign Used,2017,2690000.0
Mercedes Benz C180,Automatic,1600.0,Foreign Used,2017,4544953.0
Mercedes Benz C180,Automatic,1600.0,Foreign Used,2018,4450000.0
Range Rover Sport,Automatic,5000.0,Foreign Used,2017,13891979.0
Audi Q5,Automatic,2000.0,Foreign Used,2020,8078045.0
Audi Q5,Automatic,2000.0,Foreign Used,2019,6765000.0
Jeep Wrangler,Automatic,2200.0,Foreign Used,2021,8747500.0
Toyota Landcruiser Prado,Automatic,2800.0,Foreign Used,2019,8999999.0
Mazda CX5,Automatic,2200.0,Foreign Used,2019,3883000.0
Mazda CX5,Automatic,2200.0,Foreign Used,2017,3487000.0
Mitsubishi Outlander,Automatic,2000.0,Foreign Used,2017,3485000.0
Mercedes Benz A180,Automatic,1600.0,Foreign Used,2017,2599999.0
Honda CRV,Automatic,2000.0,Foreign Used,2018,4070000.0
Honda CRV,Automatic,2000.0,Foreign Used,2018,3980000.0
Suzuki Escudo,Automatic,1400.0,Foreign Used,2017,2980000.0
Mazda CX5,Automatic,2500.0,Foreign Used,2018,3470500.0
BMW 320i,Automatic,2000.0,Foreign Used,2017,2820000.0
Volkswagen Arteon,Automatic,2000.0,Foreign Used,2017,4486000.0
Honda Vezel,Automatic,1500.0,Foreign Used,2017,2694000.0
Mazda Axela,Automatic,1500.0,Foreign Used,2017,2311000.0
Toyota Landcruiser ZX,Automatic,4600.0,Kenyan Used,2011,4599999.0
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2005,749999.0
Mercedes Benz E300,Automatic,2000.0,Foreign Used,2017,5740000.0
Toyota Axio,Automatic,1500.0,Kenyan Used,2010,799999.0
Mazda CX5,Automatic,2500.0,Foreign Used,2017,3345500.0
Mazda Demio,Automatic,1300.0,Kenyan Used,2012,749999.0
Mazda CX5,Automatic,2200.0,Kenyan Used,2013,1699999.0
Mercedes Benz C200,Automatic,2000.0,Kenyan Used,2011,1849999.0
Toyota Vitz,Automatic,1300.0,Kenyan Used,2016,1239999.0
Mazda Demio,Automatic,1500.0,Foreign Used,2018,1450000.0
Volvo V40,Automatic,1600.0,Kenyan Used,2014,1399999.0
Peugeot 2008,Automatic,1200.0,Foreign Used,2018,2149999.0
Mercedes Benz C200,Automatic,2000.0,Foreign Used,2016,4299999.0
Mercedes Benz GLS 400d,Automatic,2900.0,Foreign Used,2020,16264500.0
Toyota Hilux,Manual,2800.0,Foreign Used,2018,6699999.0
Audi A4,Automatic,2000.0,Kenyan Used,2015,2099999.0
