,Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price,Make,Model,Car_Age
921,Mazda Cx5 Awd,Automatic,2500.0,Kenyan Used,2017,3749999.0,Mazda,Cx5 Awd,7
922,Volkswagen Golf Variant R,Automatic,2000.0,Kenyan Used,2015,2899999.0,Volkswagen,Golf Variant R,9
923,Audi A5,Automatic,2000.0,Foreign Used,2017,4349999.0,Audi,A5,7
924,Audi Q3,Automatic,2000.0,Foreign Used,2021,6666000.0,Audi,Q3,3
925,Bmw 530I,Automatic,2000.0,Foreign Used,2017,4579999.0,Bmw,530I,7
926,Range Rover Sport,Automatic,5000.0,Foreign Used,2021,21999999.0,Range Rover,Sport,3
927,Porsche Cayenne Turbo,Automatic,4000.0,Foreign Used,2019,14031800.0,Porsche,Cayenne Turbo,5
928,Range Rover Vogue Autobiography,Automatic,4400.0,Foreign Used,2022,37489050.0,Range Rover,Vogue Autobiography,2
929,Mercedes Benz Benz Benz Amg E43,Automatic,3000.0,Foreign Used,2018,8383000.0,Mercedes Benz,Benz Benz Amg E43,6
930,Porsche Cayenne,Automatic,3000.0,Foreign Used,2019,10812950.0,Porsche,Cayenne,5
931,Range Rover Evoque,Automatic,2000.0,Foreign Used,2017,5450000.0,Range Rover,Evoque,7
932,Audi Sq5,Automatic,3000.0,Foreign Used,2019,6352000.0,Audi,Sq5,5
933,Toyota Hiace,Automatic,2000.0,Foreign Used,2017,3358980.0,Toyota,Hiace,7
934,Mitsubishi Pajero,Automatic,3200.0,Foreign Used,2018,6568000.0,Mitsubishi,Pajero,6
935,Peugeot  3008,Automatic,1600.0,Foreign Used,2017,3399999.0,Peugeot, 3008,7
936,Volkswagen Arteon,Automatic,2000.0,Foreign Used,2018,4932000.0,Volkswagen,Arteon,6
937,Audi A6,Automatic,2000.0,Foreign Used,2018,4454400.0,Audi,A6,6
938,Mazda Cx8,Automatic,2200.0,Foreign Used,2017,4044000.0,Mazda,Cx8,7
939,Subaru Forester,Automatic,2000.0,Foreign Used,2018,3929999.0,Subaru,Forester,6
940,Porsche Macan Gts,Automatic,3000.0,Foreign Used,2017,8407600.0,Porsche,Macan Gts,7
941,Audi A7,Automatic,3000.0,Foreign Used,2017,5519999.0,Audi,A7,7
942,Audi A8,Automatic,3000.0,Foreign Used,2019,10139499.0,Audi,A8,5
943,Volvo Xc60,Automatic,2000.0,Foreign Used,2018,6149999.0,Volvo,Xc60,6
944,Bmw X3,Automatic,2000.0,Foreign Used,2017,4449999.0,Bmw,X3,7
945,Audi Q3,Automatic,2000.0,Foreign Used,2017,3449999.0,Audi,Q3,7
946,Bmw 530I,Automatic,2000.0,Foreign Used,2017,4599999.0,Bmw,530I,7
947,Toyota Caldina,Automatic,2000.0,Foreign Used,2003,699999.0,Toyota,Caldina,21
948,Mercedes Benz Benz Benz E300,Automatic,3000.0,Kenyan Used,2010,2149999.0,Mercedes Benz,Benz Benz E300,14
949,Nissan Xtrail,Automatic,2000.0,Foreign Used,2017,2449999.0,Nissan,Xtrail,7
950,Porsche 911 Gt3,Automatic,4000.0,Foreign Used,2021,35183130.0,Porsche,911 Gt3,3
951,Toyota Rav4,Automatic,2000.0,Foreign Used,2017,4099999.0,Toyota,Rav4,7
952,Lexus Nx300H,Automatic,2500.0,Kenyan Used,2017,4764999.0,Lexus,Nx300H,7
953,Toyota Landcruiser Prado Tz-G,Automatic,2800.0,Foreign Used,2022,11747999.0,Toyota,Landcruiser Prado Tz-G,2
954,Lexus Lx600,Automatic,3500.0,Foreign Used,2021,25495600.0,Lexus,Lx600,3
955,Honda Vezel,Automatic,1500.0,Foreign Used,2017,2749999.0,Honda,Vezel,7
956,Mercedes Benz Benz Amg S63L,Automatic,4000.0,Foreign Used,2018,16585027.0,Mercedes Benz,Benz Amg S63L,6
957,Toyota Hilux,Automatic,2500.0,Kenyan Used,2011,1799999.0,Toyota,Hilux,13
958,Mazda Demio,Automatic,1300.0,Foreign Used,2017,1330000.0,Mazda,Demio,7
959,Subaru Forester,Automatic,2000.0,Foreign Used,2018,3456897.0,Subaru,Forester,6
960,Toyota Landcruiser Prado Tz-G,Automatic,2800.0,Foreign Used,2021,10964088.0,Toyota,Landcruiser Prado Tz-G,3
961,Bmw X5,Automatic,3000.0,Foreign Used,2017,6103999.0,Bmw,X5,7
