Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
Toyota Premio,Automatic,1800 CC,Foreign Used,2018,"KES 2,299,999"
Audi Q3,Automatic,2000 CC,Foreign Used,2017,"KES 3,333,444"
Subaru XV,Automatic,2000 CC,Foreign Used,2017,"KES 2,412,000"
Mazda Axela,Manual,1500 CC,Foreign Used,2017,"KES 2,276,780"
Volkswagen Golf,Automatic,1400 CC,Foreign Used,2017,"KES 2,389,000"
BMW X7,Automatic,4400 CC,Foreign Used,2020,"KES 15,300,000"
Nissan Xtrail,Automatic,2000 CC,Foreign Used,2017,"KES 2,330,050"
Audi A5,Automatic,2000 CC,Foreign Used,2017,"KES 4,333,080"
Suzuki Jimny,Automatic,1300 CC,Foreign Used,2017,"KES 2,345,000"
Audi RSQ8,Automatic,4000 CC,Foreign Used,2022,"KES 33,688,074"
Lamborghini Urus,Automatic,4000 CC,Foreign Used,2021,"KES 62,659,000"
Subaru Forester XT,Automatic,2000 CC,Foreign Used,2017,"KES 3,321,000"
Mercedes Benz GLS350d,Automatic,3000 CC,Foreign Used,2017,"KES 11,499,999"
Porsche Cayenne,Automatic,3600 CC,Kenyan Used,2016,"KES 4,799,999"
Mazda CX5,Automatic,2200 CC,Foreign Used,2017,"KES 3,564,461"
Mazda CX5,Automatic,2500 CC,Foreign Used,2017,"KES 3,181,000"
Jaguar XJ,Automatic,3000 CC,Foreign Used,2017,"KES 8,230,000"
Mercedes Benz S300h,Automatic,2200 CC,Foreign Used,2017,"KES 6,745,000"
Mini Clubman,Automatic,2000 CC,Foreign Used,2017,"KES 1,989,000"
Audi A6,Automatic,3000 CC,Foreign Used,2017,"KES 4,499,999"
Audi A6,Automatic,2000 CC,Foreign Used,2017,"KES 3,600,000"
Nissan GTR,Automatic,3800 CC,Foreign Used,2020,"KES 20,668,140"
Range Rover Vogue,Automatic,3000 CC,Foreign Used,2019,"KES 13,334,700"
Mercedes Benz GLC 250,Automatic,2000 CC,Foreign Used,2018,"KES 5,985,000"
BMW X5,Automatic,3000 CC,Kenyan Used,2015,"KES 4,499,999"
Subaru WRX S4,Automatic,2000 CC,Kenyan Used,2016,"KES 3,499,999"
Mitsubishi Pajero,Automatic,2800 CC,Kenyan Used,1999,"KES 899,999"
Subaru Levorg,Automatic,2000 CC,Kenyan Used,2017,"KES 2,499,999"
Nissan March,Automatic,1200 CC,Kenyan Used,2011,"KES 549,999"
Mercedes Benz S280,Automatic,2800 CC,Kenyan Used,2003,"KES 1,249,999"
Mitsubishi Outlander,Automatic,2300 CC,Kenyan Used,2015,"KES 2,549,999"
Toyota Harrier,Automatic,2000 CC,Kenyan Used,2017,"KES 3,499,999"
Toyota Wish,Automatic,1800 CC,Kenyan Used,2005,"KES 629,999"
Toyota Hilux,Automatic,3000 CC,Kenyan Used,2007,"KES 1,899,999"
Mercedes Benz GLC 250,Automatic,2000 CC,Foreign Used,2018,"KES 6,479,369"
Porsche Macan,Automatic,2000 CC,Foreign Used,2017,"KES 5,799,000"
Porsche Macan S,Automatic,3000 CC,Foreign Used,2017,"KES 7,215,000"
Porsche Macan GTS,Automatic,3000 CC,Foreign Used,2017,"KES 8,100,600"
Subaru Impreza,Automatic,1500 CC,Kenyan Used,2008,"KES 829,999"
Peugeot  308,Automatic,1200 CC,Foreign Used,2017,"KES 1,949,999"
Toyota Probox,Automatic,1500 CC,Foreign Used,2017,"KES 1,349,999"
Mazda Atenza,Automatic,2200 CC,Kenyan Used,2015,"KES 1,749,999"
Mercedes Benz GLC 220d,Automatic,2200 CC,Foreign Used,2017,"KES 5,899,999"
Ford Ranger,Manual,3200 CC,Kenyan Used,2016,"KES 4,799,999"
Jaguar E type,Automatic,2000 CC,Foreign Used,2020,"KES 6,099,999"
Jaguar XJ,Automatic,3000 CC,Foreign Used,2017,"KES 8,350,000"
Jaguar F pace,Automatic,5000 CC,Foreign Used,2020,"KES 14,100,000"
Mercedes Benz B180,Automatic,1600 CC,Foreign Used,2017,"KES 1,987,000"
Ford Mustang,Automatic,2300 CC,Foreign Used,2017,"KES 7,556,000"
Toyota Probox,Automatic,1500 CC,Foreign Used,2018,"KES 1,349,999"
Toyota Landcruiser,Automatic,3300 CC,Foreign Used,2023,"KES 18,404,000"
Toyota Mark X,Automatic,2500 CC,Foreign Used,2017,"KES 2,498,000"
Toyota Landcruiser,Automatic,3300 CC,Foreign Used,2023,"KES 16,715,000"
